Country,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CAN,,,,,,,,,,,,,,,,,48.6,,48,,50.6,,,48.2,,49.4,,48.2,,49.1,49.5,50,50.6,50.5
EST,,,,,,,,,,,,,57.6,,41.9,,43.9,,41.4,,40.8,,41.9,,42.6,,43.2,,46.5,,49.6,,48.6,
FIN,34,38.3,37.2,36.3,37.5,37,36.4,35.2,36.9,36.4,36.7,38.5,37.7,38.4,40.8,39.1,41.7,44.1,42.4,42.4,43.4,42.5,43.4,44.1,45.3,45,45.3,49.2,47.7,48.9,48.8,49.3,49.7,50.8
SWE,,,,,,,,,,,,,,,,,,,,,40.4,40.4,42.7,42.7,44.7,43.1,42.8,44.3,43.4,44.6,44.9,45.5,46.4,46.3
AUS,,,,,,,,,,,,,,,,,,,,,,,,50,,,53.5,,,56,,,,
CHE,,,,,,,,,,,,,,,30.3,,,,,34.9,,,,,37.1,,,,,37.3,,,,
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,44.2,,44.1,,47.7,,49.8,
POL,,,,,,,,,,,,,,,,,,,43.1,,,,,,,,45.3,,,,,52.2,,
BEL,,,,,,,,,,,,,,,,,,,,41.3,,,,44.5,,,44.1,,,,46.9,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,47.4,,,55.5,,
CZE,,,,,,,,,,,,,,,,47.1,,,45.8,,,50.2,,,51.1,,,,,,54.3,,,
DNK,,,,,,,,,,,,,,,,,,,,,,,41.7,,,,,44.6,,,,,46.7,
FRA,,,,,,,,,,,,,29.7,29.8,30.9,31.5,30.5,33.4,35.2,33.4,34.4,,36.2,,37.5,,34.7,,37,,38.2,,42.9,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,,,,,,,,,,,,,,,,,,32,,,37,,,,43,,,43,,,46,,,
PRT,,,,,,,,,,,,,,,,,,,,,,49.6,,,,,,,51.6,,,,,
TUR,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,47.6,,49.9,
ESP,,,,,,,,,,37.2,,,,,,43.1,,44.4,,45.3,,,,48.3,,48.4,,,51.1,,,53.7,,52.7
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,,58.9,55.7,,
USA,,,,,,,,,,,,,,,,,,,,55,56.2,57.4,57.5,58.9,59.3,59.7,59.8,60.7,61,61.9,62.6,63.5,63.1,63.1
ISL,,,,,,,,,,,,,36.5,,,,,,,,,,,,48.3,,,,,60.2,,,58.5,
ITA,,,,,,,,,,,,,,,,,38.1,,,,,41.2,41.1,42.4,42,42.6,,44.6,45.1,45.5,45.5,46.3,46,45.8
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,,,,33.3,32.7,33.3,33.4,33,34.2,34.9,34,35.4,34.9,35.1,36.5,36.4,38.3,37.9,38.9,40.5,40.5,42.3,44.1,44.8,44.8,46.1,46.5,44.9,46.5,45.5,46.9,47.2,48.2,48.2
SVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,,,,
AUT,,,,,,,,,,,,,,42,,,,,,,,46.1,,,,,,,47.7,,,,,
DEU,,,,,,,,,,,,,,,,,,,,,,47.7,,,,49.2,,49.6,,,,51.4,,
IRL,,,,,,,,,,,,,,,,,,,,,43,,,,48,,,,,51,,,,
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,22.3,22.6,23.3
SVK,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,,,,,,50.8,,
HUN,,,,,,,,,,,,,,,,,,,,,,,51.4,,,52.8,,,,,,53.6,,
MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
